workout_duration_minutes,calories_burned,avg_heart_rate_bpm,steps_taken
32,245,128,4100
45,380,142,6200
28,190,121,3500
60,520,155,8900
22,160,118,2900
75,640,149,10400
50,410,138,7200
38,305,132,5100
90,780,162,12000
27,175,124,3300
55,445,140,6800
42,320,135,5600
33,250,129,4300
48,395,141,6000
70,590,150,9800
25,185,120,3100
80,700,158,11000
36,295,130,4800
62,510,147,8400
29,200,122,3600
40,310,134,5200
52,420,139,6900
31,240,127,4000
68,560,148,9300
24,170,119,3000
77,660,153,10200
46,360,136,5800
34,260,131,4400
88,760,160,11800
30,210,125,3700
58,470,143,7100
41,315,133,5400
26,180,121,3200
73,620,151,9700
54,430,137,6500
39,300,130,5000
82,720,159,11200
37,290,129,4700
63,515,146,8500
28,195,123,3400

